Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAIC,Arlington Asset Investment Corp Class A (new),$4.07,-0.08,-1.928%,135955359.00,United States,,181156,Consumer Services,Real Estate Investment Trusts
ACP,Aberdeen Income Credit Strategies Fund Common Shares,$11.56,-0.05,-0.431%,201515030.00,United States,2011,107649,,
ACR,ACRES Commercial Realty Corp. Common Stock,$15.09,-0.13,-0.854%,143034292.00,United States,,37826,Consumer Services,Real Estate Investment Trusts
AFI,Armstrong Flooring Inc. Common Stock,$5.29,0.09,1.731%,114606850.00,,2016,134627,Consumer Non-Durables,Plastic Products
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,$14.91,-0.07,-0.467%,232194340.00,,2011,56881,,
AGD,Aberdeen Global Dynamic Dividend Fund,$11.31,0.05,0.444%,141935761.00,United States,2006,58351,,
AHT,Ashford Hospitality Trust Inc Common Stock,$2.75,-0.16,-5.498%,285026283.00,United States,2003,8242857,Consumer Services,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,$14.88,0.01,0.067%,215224707.00,,2013,33794,,
AJX,Great Ajax Corp. Common Stock,$11.41,-0.02,-0.175%,262182848.00,United States,2015,106877,Consumer Services,Real Estate Investment Trusts
AMPY,Amplify Energy Corp. Common Stock,$2.81,-0.13,-4.422%,106620299.00,United States,2016,452920,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,$13.31,0.50,3.903%,244759440.00,United States,2018,119417,Energy,Coal Mining
AONE,one Class A Ordinary Shares,$11.04,-0.30,-2.646%,296700000.00,United States,2020,611168,Finance,Business Services
AP,Ampco-Pittsburgh Corporation Common Stock,$7.50,-0.20,-2.597%,141358710.00,United States,,83234,Capital Goods,Fluid Controls
APRN,Blue Apron Holdings Inc. Class A Common Stock,$6.47,0.15,2.373%,115613491.00,United States,2017,309528,Consumer Services,Catalog/Specialty Distribution
ARC,ARC Document Solutions Inc. Common Stock,$2.30,0.11,5.023%,98422104.00,United States,2004,119443,Consumer Services,Professional Services
ARL,American Realty Investors Inc. Common Stock,$9.4469,0.3869,4.27%,152586735.00,United States,,4841,Finance,Real Estate
ASC,Ardmore Shipping Corporation Common Stock,$4.45,-0.06,-1.33%,148073447.00,,2013,177566,Transportation,Marine Transportation
ASGI,Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest,$19.73,-0.24,-1.202%,172367436.00,,2020,34312,,
AT,Atlantic Power Corporation Ordinary Shares (Canada),$2.91,0.05,1.748%,261068680.00,United States,,2510363,Energy,Electric Utilities: Central
ATTO,Atento S.A. Ordinary Shares,$21.00,-0.20,-0.943%,92974392.00,,2014,9790,Public Utilities,Telecommunications Equipment
AXR,AMREP Corporation Common Stock,$10.41,-0.71,-6.385%,73891429.00,United States,,8722,Consumer Services,Newspapers/Magazines
BBF,BlackRock Municipal Income Investment Trust,$14.12,0.14,1.001%,144481135.00,United States,,28584,,
BBW,Build-A-Bear Workshop Inc. Common Stock,$7.35,0.05,0.685%,117307926.00,United States,2004,130601,Consumer Services,Recreational Products/Toys
BFY,BlackRock New York Municipal Income Trust II,$15.38,0.05,0.326%,76975700.00,United States,2002,12488,,
BGIO,BlackRock 2022 Global Income Opportunity Trust Common Shares of Beneficial Interest,$9.20,0.02,0.218%,203754902.00,United States,2017,34287,,
BGR,BlackRock Energy and Resources Trust,$8.86,-0.08,-0.895%,257901053.00,United States,2004,229082,,
BGSF,BGSF Inc. Common Stock,$14.28,0.06,0.422%,147597666.00,United States,,48227,Technology,Professional Services
BGT,BlackRock Floating Rate Income Trust,$12.59,-0.04,-0.317%,281961359.00,United States,2004,96568,,
BGX,Blackstone Long Short Credit Income Fund Common Shares,$14.12,-0.01,-0.071%,179434080.00,,2011,55329,,
BHR,Braemar Hotels & Resorts Inc. Common Stock,$6.18,-0.04,-0.643%,254146771.00,United States,2013,261117,Consumer Services,Real Estate Investment Trusts
BNY,BlackRock New York Municipal Income Trust,$15.77,0.03,0.191%,204632687.00,United States,,36710,,
BORR,Borr Drilling Limited Common Shares,$1.02,-0.03,-2.857%,278997438.00,,2019,1792054,Energy,Oil & Gas Production
