Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABT,Abbott Laboratories Common Stock,$119.97,0.11,0.092%,212530377079.00,United States,,5146395,Health Care,Major Pharmaceuticals
BAC,Bank of America Corporation Common Stock,$39.69,-0.11,-0.276%,2739325230311.00,United States,,42590122,Finance,Major Banks
CRM,Salesforce.com Inc Common Stock,$221.09,0.80,0.363%,203623890000.00,United States,2004,5448464,Technology,Computer Software: Prepackaged Software
DIS,Walt Disney Company (The) Common Stock,$189.73,1.23,0.653%,344410019557.00,United States,,7926185,Consumer Services,Services-Misc. Amusement & Recreation
HD,Home Depot Inc. (The) Common Stock,$313.78,-1.62,-0.514%,337962830998.00,United States,,3988628,Consumer Services,RETAIL: Building Materials
JNJ,Johnson & Johnson Common Stock,$163.39,-0.04,-0.024%,430157926472.00,United States,,5074239,Health Care,Major Pharmaceuticals
JPM,JP Morgan Chase & Co. Common Stock,$152.54,-1.08,-0.703%,465476791747.00,United States,,13071554,Finance,Major Banks
KO,Coca-Cola Company (The) Common Stock,$53.19,0.38,0.72%,229212288046.00,United States,,15614268,Consumer Non-Durables,Beverages (Production/Distribution)
MA,Mastercard Incorporated Common Stock,$369.57,1.25,0.339%,367116919255.00,United States,2006,2662240,Miscellaneous,Business Services
NKE,Nike Inc. Common Stock,$137.16,2.04,1.51%,216708283870.00,United States,,4670099,Consumer Non-Durables,Shoe Manufacturing
ORCL,Oracle Corporation Common Stock,$74.28,0.12,0.162%,214188979800.00,United States,1986,14699810,Technology,Computer Software: Prepackaged Software
PFE,Pfizer Inc. Common Stock,$36.05,-0.23,-0.634%,201092814147.00,United States,,20722933,Health Care,Major Pharmaceuticals
PG,Procter & Gamble Company (The) Common Stock,$136.50,0.05,0.037%,336127980006.00,United States,,6180642,Basic Industries,Package Goods/Cosmetics
T,AT&T Inc.,$30.98,0.27,0.879%,221149433983.00,United States,,33666426,Public Utilities,Telecommunications Equipment
UNH,UnitedHealth Group Incorporated Common Stock (DE),$364.37,-5.81,-1.57%,344446031235.00,United States,,2698564,Health Care,Medical Specialities
V,Visa Inc.,$218.65,-0.39,-0.178%,467315324808.00,United States,,7828103,Miscellaneous,Business Services
WMT,Walmart Inc. Common Stock,$140.10,0.67,0.481%,394671744470.00,United States,,10348230,Consumer Services,Department/Specialty Retail Stores
XOM,Exxon Mobil Corporation Common Stock,$56.34,-0.16,-0.283%,238516672693.00,United States,,18926270,Energy,Integrated oil Companies
